http_user_agent	metadata_description	metadata_category	metadata_link	metadata_priority	metadata_fp_risk	metadata_severity	metadata_usage	metadata_flow_direction		
*YAYAYAY*	raccoon stealer - It gathers personal information including passwords, browser cookies/autofill data and  cryptowallet details	Malware	https://app.any.run/tasks/46ee2dd4-1743-45c2-bac9-2d9bdea24e3b/ - https://x.com/crep1x/status/1645535585115820033?s=20	critical	none	critical	Detection rule	network flow direction internal --> external		
*Your Moms Smart Vibrator*	default user agent for TREVORspray example module - a modular password sprayer with threading - clever proxying - loot modules and more	Credential Access	https://github.com/blacklanternsecurity/TREVORspray/blob/31427822e3c7def1eea3c208deeb67d777022805/README.md?plain=1#L226	critical	none	critical	Detection rule	network flow direction internal --> external		
*\Microsoft Windows *\Windows Defender\*	Suspicious strings observed in exploitations	Exploitation	N/A	critical	none	critical	Detection rule	network flow direction internal --> external		
*burpcollaborator.net*	user agent observed with Burp Collaborator Scanner	Vulnerability Scanner	https://portswigger.net/burp	critical	none	critical	Detection rule	network flow direction internal --> internal/external		
*cmd.exe*	Suspicious strings observed in exploitations	Exploitation	N/A	critical	none	critical	Detection rule	network flow direction internal --> external		
*kali1-686*	Kali linux offensive distribution	Exploitation	N/A	critical	none	critical	Detection rule	network flow direction internal --> internal/external		
*kali1-amd64*	Kali linux offensive distribution	Exploitation	N/A	critical	none	critical	Detection rule	network flow direction internal --> internal/external		
*nmap icap-client/*	icap-info nse script default user agent	Exploitation	https://github.com/michoo/flanby/blob/9f3508706d4fbf44767b446fe26f11c7a46ca7aa/scripts/icap-info.nse#L82	high	none	high	Detection rule	network flow direction internal --> internal/external		
*powershell.exe*	Suspicious strings observed in exploitations	Exploitation	N/A	critical	none	critical	Detection rule	network flow direction internal --> external		
*wget http*	Suspicious strings observed in exploitations	Exploitation	N/A	critical	none	critical	Detection rule	network flow direction internal --> external		
*yahoomailproxy*	Yahoo Mail Proxy is a content fetch proxy that retrieves the page content of URLs that are embedded within emails sent to Yahoo Mail users	Defense Evasion	https://help.yahoo.com/kb/SLN28749.html	low	low	info	Hunting	network flow direction internal --> external		
.net backdor	Suricata trojan user-agent rules	Malware	https://raw.githubusercontent.com/seanlinmt/suricata/master/files/rules/emerging-trojan.rules	high	low	medium	Detection rule	network flow direction internal --> external		
01h4x.com	crawlers / bad robots / suspicious spiders / junk web-scrapers / malicious spammersResource Development	Bots & Vulnerability Scanner	https://raw.githubusercontent.com/mitchellkrogza/nginx-ultimate-bad-bot-blocker/master/_generator_lists/bad-user-agents.list	medium	low	medium	Detection rule	network flow direction internal --> external		
0xa10xa1HttpClient	Suricata Malware user-agent rules	Malware	https://raw.githubusercontent.com/seanlinmt/suricata/master/files/rules/emerging-malware.rules	high	low	medium	Detection rule	network flow direction internal --> external		
1235125521512	raccoon stealer - It gathers personal information including passwords, browser cookies/autofill data and  cryptowallet details	Malware	https://x.com/crep1x/status/1643183031002202112	critical	none	critical	Detection rule	network flow direction internal --> external		
125122112551	raccoon stealer - It gathers personal information including passwords, browser cookies/autofill data and  cryptowallet details	Malware	https://x.com/crep1x/status/1643183031002202112	critical	none	critical	Detection rule	network flow direction internal --> external		
20112211	raccoon stealer - It gathers personal information including passwords, browser cookies/autofill data and  cryptowallet details	Malware	https://tria.ge/230207-htlfnahh87/behavioral1	critical	none	critical	Detection rule	network flow direction internal --> external		
23591	raccoon stealer - It gathers personal information including passwords, browser cookies/autofill data and  cryptowallet details	Malware	https://tria.ge/221218-mljz3sbe86/behavioral2	critical	none	critical	Detection rule	network flow direction internal --> external		
360Spider	crawlers / bad robots / suspicious spiders / junk web-scrapers / malicious spammersResource Development	Bots & Vulnerability Scanner	https://raw.githubusercontent.com/mitchellkrogza/nginx-ultimate-bad-bot-blocker/master/_generator_lists/bad-user-agents.list	medium	low	medium	Detection rule	network flow direction internal --> external		
404checker	crawlers / bad robots / suspicious spiders / junk web-scrapers / malicious spammersResource Development	Bots & Vulnerability Scanner	https://raw.githubusercontent.com/mitchellkrogza/nginx-ultimate-bad-bot-blocker/master/_generator_lists/bad-user-agents.list	medium	low	medium	Detection rule	network flow direction internal --> external		
404enemy	crawlers / bad robots / suspicious spiders / junk web-scrapers / malicious spammersResource Development	Bots & Vulnerability Scanner	https://raw.githubusercontent.com/mitchellkrogza/nginx-ultimate-bad-bot-blocker/master/_generator_lists/bad-user-agents.list	medium	low	medium	Detection rule	network flow direction internal --> external		
404search	Suricata Malware user-agent rules	Malware	https://raw.githubusercontent.com/seanlinmt/suricata/master/files/rules/emerging-malware.rules	high	low	medium	Detection rule	network flow direction internal --> external		
4M5yC6u4stom5U8se3r	Suricata suspicious user-agent rules	suspicious string	https://raw.githubusercontent.com/vncloudsco/suricata-rules/main/emerging-user_agents.rules	high	low	medium	Detection rule	network flow direction internal --> external		
6	Suricata Malware user-agent rules	Malware	https://raw.githubusercontent.com/seanlinmt/suricata/master/files/rules/emerging-malware.rules	high	low	medium	Detection rule	network flow direction internal --> external		
80legs	crawlers / bad robots / suspicious spiders / junk web-scrapers / malicious spammersResource Development	Bots & Vulnerability Scanner	https://raw.githubusercontent.com/mitchellkrogza/nginx-ultimate-bad-bot-blocker/master/_generator_lists/bad-user-agents.list	medium	low	medium	Detection rule	network flow direction internal --> external		
901785252112	raccoon stealer - It gathers personal information including passwords, browser cookies/autofill data and  cryptowallet details	Malware	https://x.com/crep1x/status/1643183031002202112	critical	none	critical	Detection rule	network flow direction internal --> external		
91castInstallKernel	Suricata Malware user-agent rules	Malware	https://raw.githubusercontent.com/seanlinmt/suricata/master/files/rules/emerging-malware.rules	high	low	medium	Detection rule	network flow direction internal --> external		
???	Suricata Malware user-agent rules	Malware	https://raw.githubusercontent.com/seanlinmt/suricata/master/files/rules/emerging-malware.rules	high	low	medium	Detection rule	network flow direction internal --> external		
